fx1,fx2,fx3,fx4,fx5,y
240,151,140,48,496,"""قلم"""
298,221,173,45,519,"""قلم"""
325,239,203,26,471,"""قلم"""
269,205,191,21,496,"""قلم"""
450,349,288,180,479,"""قلم"""
387,240,208,39,509,"""قلم"""
249,168,156,21,487,"""قلم"""
282,172,149,26,493,"""قلم"""
259,164,131,15,464,"""قلم"""
256,151,147,22,496,"""قلم"""
272,226,144,257,333,"""تفاح"""
351,303,196,224,302,"""تفاح"""
240,224,167,234,445,"""تفاح"""
279,255,182,281,325,"""تفاح"""
388,352,201,272,395,"""تفاح"""
318,224,205,370,410,"""تفاح"""
263,182,177,240,341,"""تفاح"""
288,192,182,181,344,"""تفاح"""
272,197,133,217,287,"""تفاح"""
240,176,164,154,295,"""تفاح"""
374,226,406,245,459,"""تونه"""
368,253,496,258,356,"""تونه"""
266,227,279,179,464,"""تونه"""
296,266,453,214,360,"""تونه"""
327,253,434,258,386,"""تونه"""
311,244,448,348,414,"""تونه"""
315,209,461,132,349,"""تونه"""
287,196,445,239,384,"""تونه"""
320,230,460,208,335,"""تونه"""
267,218,426,156,352,"""تونه"""
239,457,407,238,432,"""ماما"""
197,476,469,218,447,"""ماما"""
300,466,469,197,352,"""ماما"""
257,449,444,202,391,"""ماما"""
272,490,438,258,416,"""ماما"""
254,466,477,251,403,"""ماما"""
302,479,451,112,349,"""ماما"""
341,435,455,289,439,"""ماما"""
336,485,445,197,325,"""ماما"""
210,459,439,173,400,"""ماما"""
446,428,400,193,287,"""بابا"""
450,429,437,223,272,"""بابا"""
374,394,375,85,371,"""بابا"""
387,353,277,131,400,"""بابا"""
368,351,365,105,365,"""بابا"""
385,368,306,113,346,"""بابا"""
363,317,315,90,257,"""بابا"""
436,359,328,123,270,"""بابا"""
433,457,444,224,269,"""بابا"""
391,310,281,85,348,"""بابا"""
457,446,416,257,255,"""نحن"""
430,339,375,179,306,"""نحن"""
413,455,437,157,430,"""نحن"""
412,402,407,250,405,"""نحن"""
394,434,417,267,400,"""نحن"""
373,468,420,233,406,"""نحن"""
435,374,357,87,283,"""نحن"""
432,406,397,149,338,"""نحن"""
421,431,403,176,321,"""نحن"""
404,336,302,66,326,"""نحن"""
464,446,432,304,496,"""ملك"""
357,346,363,207,487,"""ملك"""
414,400,405,182,385,"""ملك"""
322,411,401,234,493,"""ملك"""
406,434,414,240,499,"""ملك"""
413,466,416,219,493,"""ملك"""
412,347,353,148,309,"""ملك"""
430,438,417,170,320,"""ملك"""
379,370,415,206,353,"""ملك"""
443,454,438,254,465,"""ملك"""
277,186,174,224,494,"""هاجر"""
311,200,170,135,491,"""هاجر"""
272,176,162,215,483,"""هاجر"""
288,265,197,161,506,"""هاجر"""
308,186,178,155,485,"""هاجر"""
301,167,167,287,494,"""هاجر"""
254,151,151,194,458,"""هاجر"""
257,175,173,207,479,"""هاجر"""
266,155,147,196,446,"""هاجر"""
256,176,157,209,477,"""هاجر"""
231,134,289,225,496,"""احمد"""
306,211,212,288,489,"""احمد"""
189,160,266,398,477,"""احمد"""
358,297,483,154,494,"""احمد"""
303,251,283,384,446,"""احمد"""
338,264,339,240,494,"""احمد"""
261,171,239,357,485,"""احمد"""
271,227,359,238,479,"""احمد"""
288,181,205,260,438,"""احمد"""
246,192,246,318,485,"""احمد"""
253,123,144,125,279,"""يوستينا"""
311,189,135,111,405,"""يوستينا"""
304,304,210,156,391,"""يوستينا"""
301,182,122,36,339,"""يوستينا"""
232,264,137,113,369,"""يوستينا"""
307,237,133,69,366,"""يوستينا"""
277,167,202,85,306,"""يوستينا"""
333,251,262,112,323,"""يوستينا"""
305,233,208,69,333,"""يوستينا"""
211,178,141,48,313,"""يوستينا"""
291,216,288,176,365,"""هنا"""
304,186,258,270,393,"""هنا"""
289,264,362,257,442,"""هنا"""
254,261,471,123,304,"""هنا"""
323,287,382,327,399,"""هنا"""
329,239,214,347,445,"""هنا"""
314,228,307,188,351,"""هنا"""
336,302,373,240,383,"""هنا"""
278,208,221,300,353,"""هنا"""
318,203,233,131,351,"""هنا"""
437,442,425,257,505,"""رنا"""
343,384,373,207,202,"""رنا"""
412,460,458,265,448,"""رنا"""
414,455,379,277,474,"""رنا"""
357,432,451,274,369,"""رنا"""
309,400,375,230,291,"""رنا"""
450,493,460,137,307,"""رنا"""
401,450,451,229,354,"""رنا"""
410,437,431,203,219,"""رنا"""
399,450,442,166,283,"""رنا"""
378,346,320,166,294,"""شجره"""
418,472,464,224,251,"""شجره"""
387,437,444,240,465,"""شجره"""
400,449,426,277,481,"""شجره"""
368,431,425,232,394,"""شجره"""
368,481,474,321,496,"""شجره"""
452,482,238,138,307,"""شجره"""
399,464,450,216,429,"""شجره"""
418,434,432,174,209,"""شجره"""
411,455,432,173,286,"""شجره"""
286,265,240,59,257,"""صابون"""
298,231,202,113,402,"""صابون"""
337,304,257,123,397,"""صابون"""
336,311,253,50,240,"""صابون"""
312,260,170,44,331,"""صابون"""
358,218,225,57,256,"""صابون"""
287,193,240,32,210,"""صابون"""
323,202,241,46,399,"""صابون"""
207,177,160,45,209,"""صابون"""
320,151,182,67,242,"""صابون"""
240,183,182,71,496,"""تمر"""
299,193,189,87,490,"""تمر"""
249,192,163,27,506,"""تمر"""
293,239,188,17,455,"""تمر"""
383,303,227,39,493,"""تمر"""
366,183,178,42,504,"""تمر"""
283,173,146,11,481,"""تمر"""
274,144,144,11,479,"""تمر"""
262,144,132,16,478,"""تمر"""
235,144,147,18,461,"""تمر"""
